datetime	AR	CO	MX	PE	CL	EC	VE	CR	GT	SV	UY	PY	PA	HN	NI	DO	BO	CU	PR	ES
2019-04-28 12:20:02	NULL	NULL	102913	NULL	18807	3130	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 12:20:03	NULL	NULL	NULL	NULL	NULL	NULL	21509	1833	3837	3494	3130	222	1153	3133	321	689	277	20	100	2602
2019-04-28 13:20:01	12748	96916	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 13:20:03	NULL	NULL	102788	30075	18790	3129	21508	1833	3834	3494	3129	222	1153	3129	321	689	277	20	100	2602
2019-04-28 14:20:00	12708	96877	102705	30049	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 14:20:01	NULL	NULL	NULL	NULL	18769	3128	21505	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 14:20:02	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1831	3828	3483	3128	222	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 14:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1153	3128	321	689	NULL	NULL	NULL	NULL
2019-04-28 14:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	277	20	100	2602
2019-04-28 15:20:00	12689	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 15:20:02	NULL	96789	102634	30037	18719	3125	21503	1829	3819	3477	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 15:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3125	222	1153	3125	321	689	277	20	100	2602
2019-04-28 16:20:02	12547	96623	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 16:20:03	NULL	NULL	NULL	30034	18703	3119	NULL	1823	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 16:20:04	NULL	NULL	102561	NULL	NULL	NULL	21501	NULL	3811	3474	3119	222	1153	3119	320	688	277	20	100	2601
2019-04-28 17:20:00	12516	96457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 17:20:01	NULL	NULL	102467	30020	18671	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 17:20:02	NULL	NULL	NULL	NULL	NULL	NULL	21498	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 17:20:03	NULL	NULL	NULL	NULL	NULL	3115	NULL	1823	3803	3469	3115	222	1153	3115	318	688	NULL	NULL	NULL	NULL
2019-04-28 17:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	277	20	100	2600
2019-04-28 18:20:01	NULL	96367	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
