datetime	AR	CO	MX	PE	CL	EC	VE	GT	SV	UY	HN
4/28/19 17:20	NULL	NULL	0.301962943	0.766055046	0.619274242	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 17:20	NULL	NULL	NULL	NULL	NULL	NULL	0.973875803	NULL	NULL	NULL	NULL
4/28/19 17:20	NULL	NULL	NULL	NULL	NULL	0.313829787	NULL	0.179700499	0.418960245	0.295081967	0.308310992
4/28/19 17:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 18:20	NULL	0.18327059	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 18:20	0.046126288	NULL	0.276646487	0.77675841	0.59964307	0.308510638	0.973875803	NULL	NULL	NULL	NULL
4/28/19 19:20	0.037617555	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 19:20	NULL	0.181066936	0.257017061	0.74617737	0.573468174	0.308510638	0.973875803	0.161397671	0.403669725	0.289617486	NULL
4/28/19 19:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.302949062
4/28/19 19:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 20:20	0.034930587	0.175833257	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 20:20	NULL	NULL	0.248761695	0.740825688	0.567519334	0.308510638	0.973019272	0.161397671	NULL	NULL	NULL
4/28/19 20:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.289617486	NULL
4/28/19 20:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.403669725	NULL	0.302949062
4/28/19 21:22	NULL	NULL	NULL	0.743883792	NULL	0.303191489	0.972591006	0.15640599	0.403669725	0.284153005	NULL
4/28/19 21:22	NULL	NULL	0.236103467	NULL	0.56395003	NULL	NULL	NULL	NULL	NULL	0.297587131
4/28/19 22:20	0.034034931	0.178955101	0.236653825	0.732415902	0.563355146	0.303191489	NULL	NULL	NULL	NULL	NULL
4/28/19 22:20	NULL	NULL	NULL	NULL	NULL	NULL	0.972162741	0.153078203	0.397553517	0.284153005	0.297587131
4/28/19 22:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 23:20	0.034482759	0.177118722	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/28/19 23:20	NULL	NULL	0.235920015	0.731651376	0.56097561	0.300531915	0.97130621	0.149750416	0.391437309	0.281420765	NULL
4/28/19 23:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.294906166
4/29/19 0:20	0.035826243	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 0:20	NULL	0.178220549	0.234085489	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 0:20	NULL	NULL	NULL	0.720948012	0.558596074	0.29787234	0.970877944	0.144758735	0.391437309	0.278688525	NULL
4/29/19 0:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.292225201
4/29/19 1:20	0.036274071	0.179138738	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 1:20	NULL	NULL	0.233535131	0.725535168	0.556811422	0.29787234	0.970877944	NULL	NULL	NULL	NULL
4/29/19 1:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.144758735	0.394495413	0.278688525	0.292225201
4/29/19 1:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 1:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 2:20	NULL	0.178036911	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 2:20	0.037617555	NULL	0.236837278	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 2:20	NULL	NULL	NULL	0.729357798	0.556216538	0.29787234	0.970877944	NULL	0.397553517	NULL	NULL
4/29/19 3:20	0.038065383	0.179781471	0.24197395	0.729357798	0.559785842	0.29787234	0.970449679	0.141430948	0.397553517	NULL	NULL
4/29/19 3:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.278688525	0.292225201
4/29/19 3:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 4:20	0.038065383	0.180424203	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 4:20	NULL	NULL	0.250963126	0.729357798	0.560380726	0.29787234	0.970449679	NULL	NULL	NULL	NULL
4/29/19 4:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.141430948	0.397553517	0.278688525	0.292225201
4/29/19 5:20	0.038065383	0.180332385	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 5:20	NULL	NULL	0.255732893	0.730122324	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 5:20	NULL	NULL	NULL	NULL	0.560380726	0.29787234	0.970449679	0.141430948	0.388379205	0.278688525	0.292225201
4/29/19 5:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 6:20	NULL	0.18069966	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 6:20	0.038065383	NULL	0.256466703	0.733944954	0.560380726	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 6:20	NULL	NULL	NULL	NULL	NULL	0.29787234	0.970449679	0.141430948	0.388379205	0.278688525	0.292225201
4/29/19 7:20	0.037169727	0.18069966	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 7:20	NULL	NULL	0.257383966	0.732415902	0.560380726	0.29787234	0.970449679	0.141430948	0.388379205	0.278688525	0.292225201
4/29/19 7:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 8:20	0.036721899	0.170783215	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 8:20	NULL	NULL	0.257200514	0.732415902	0.560380726	0.29787234	0.970449679	0.133111481	0.354740061	NULL	NULL
4/29/19 8:20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.278688525	0.292225201
4/29/19 9:20	0.036274071	0.158479478	NULL	0.728593272	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4/29/19 9:20	NULL	NULL	0.244909191	NULL	0.55205235	0.268617021	0.970449679	0.129783694	0.345565749	NULL	NULL
