datetime	AR	CO	MX	PE	CL	EC	VE	GT	SV	UY	HN
2019-04-28 19:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-57
2019-04-28 19:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 20:20:01	-338	-1138	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 20:20:02	NULL	NULL	-1028	-219	-355	-57	-19	-82	NULL	NULL	NULL
2019-04-28 20:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-57	NULL
2019-04-28 20:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-57	NULL	-57
2019-04-28 21:22:13	NULL	NULL	NULL	-215	NULL	-59	-20	-85	-57	-59	NULL
2019-04-28 21:22:14	NULL	NULL	-1097	NULL	-361	NULL	NULL	NULL	NULL	NULL	-59
2019-04-28 22:20:01	-340	-1104	-1094	-230	-362	-59	NULL	NULL	NULL	NULL	NULL
2019-04-28 22:20:02	NULL	NULL	NULL	NULL	NULL	NULL	-21	-87	-59	-59	-59
2019-04-28 22:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 23:20:01	-339	-1124	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 23:20:03	NULL	NULL	-1098	-231	-366	-60	-23	-89	-61	-60	NULL
2019-04-28 23:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-60
2019-04-29 00:20:00	-336	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 00:20:01	NULL	-1112	-1108	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 00:20:02	NULL	NULL	NULL	-245	-370	-61	-24	-92	-61	-61	NULL
2019-04-29 00:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-61
2019-04-29 01:20:01	-335	-1102	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 01:20:02	NULL	NULL	-1111	-239	-373	-61	-24	NULL	NULL	NULL	NULL
2019-04-29 01:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-92	-60	-61	-61
2019-04-29 01:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 01:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 02:20:00	NULL	-1114	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 02:20:01	-332	NULL	-1093	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 02:20:02	NULL	NULL	NULL	-234	-374	-61	-24	NULL	-59	NULL	NULL
2019-04-29 03:20:03	-331	-1095	-1065	-234	-368	-61	-25	-94	-59	NULL	NULL
2019-04-29 03:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-61	-61
2019-04-29 03:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 04:20:01	-331	-1088	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 04:20:02	NULL	NULL	-1016	-234	-367	-61	-25	NULL	NULL	NULL	NULL
2019-04-29 04:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-94	-59	-61	-61
2019-04-29 05:20:01	-331	-1089	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 05:20:02	NULL	NULL	-990	-233	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 05:20:04	NULL	NULL	NULL	NULL	-367	-61	-25	-94	-62	-61	-61
2019-04-29 05:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 06:20:00	NULL	-1085	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 06:20:02	-331	NULL	-986	-228	-367	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 06:20:03	NULL	NULL	NULL	NULL	NULL	-61	-25	-94	-62	-61	-61
2019-04-29 07:20:01	-333	-1085	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 07:20:02	NULL	NULL	-981	-230	-367	-61	-25	-94	-62	-61	-61
2019-04-29 07:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 08:20:01	-334	-1193	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 08:20:03	NULL	NULL	-982	-230	-367	-61	-25	-99	-73	NULL	NULL
2019-04-29 08:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-61	-61
2019-04-29 09:20:01	-335	-1327	NULL	-235	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 09:20:02	NULL	NULL	-1049	NULL	-381	-72	-25	-101	-76	NULL	NULL
2019-04-29 09:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-72	-72
2019-04-29 09:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 10:20:01	NULL	-1457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 10:20:03	-362	NULL	NULL	NULL	NULL	-76	NULL	NULL	NULL	NULL	NULL
2019-04-29 10:20:04	NULL	NULL	NULL	-251	-427	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 10:20:05	NULL	NULL	-1133	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 11:20:02	-397	-1586	-1237	-270	-465	-78	-25	-109	NULL	NULL	NULL
2019-04-29 11:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-87	-78	NULL
2019-04-29 11:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-78
2019-04-29 12:20:01	-416	-1666	-1340	-308	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 12:20:02	NULL	NULL	NULL	NULL	-494	-84	-296	-114	-94	-84	NULL
2019-04-29 12:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-84
2019-04-29 12:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 13:20:01	-400	-1768	NULL	-350	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 13:20:02	NULL	NULL	-1440	NULL	-531	-91	-352	NULL	NULL	NULL	NULL
2019-04-29 13:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-121	-95	-91	NULL
2019-04-29 13:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-91
2019-04-29 13:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 14:20:01	-390	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 14:20:02	NULL	-1654	-1884	-397	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 14:20:03	NULL	NULL	NULL	NULL	-485	-51	-264	-99	-63	-51	NULL
2019-04-29 14:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-51
2019-04-29 15:20:01	-384	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 15:20:02	NULL	-1585	-1852	-451	-474	-49	NULL	NULL	NULL	NULL	NULL
2019-04-29 15:20:04	NULL	NULL	NULL	NULL	NULL	NULL	-227	-106	-62	-49	-49
2019-04-29 16:20:01	-398	-1572	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 16:20:02	NULL	NULL	-1962	NULL	-391	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 16:20:03	NULL	NULL	NULL	-448	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 16:20:04	NULL	NULL	NULL	NULL	NULL	-56	-221	-112	-66	-56	-56
2019-04-29 17:20:01	-270	-1563	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 17:20:02	NULL	NULL	-1925	-431	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 17:20:04	NULL	NULL	NULL	NULL	-370	-51	-203	-117	-62	-51	-51
2019-04-29 17:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 18:20:00	NULL	-1647	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 18:20:01	-277	NULL	-1832	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 18:20:03	NULL	NULL	NULL	-443	-372	-44	-265	-119	-63	NULL	NULL
2019-04-29 19:20:03	-234	-1584	-1724	-408	-386	-42	-248	NULL	NULL	NULL	NULL
2019-04-29 19:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-122	-64	NULL	NULL
2019-04-29 19:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-42	NULL
2019-04-29 19:20:06	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-42
2019-04-29 19:20:07	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 20:20:00	NULL	-1496	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 20:20:01	-214	NULL	-1719	-403	-371	-28	-236	-120	NULL	NULL	NULL
2019-04-29 20:20:02	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-49	-28	NULL
2019-04-29 20:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-28
2019-04-29 20:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 21:20:01	-202	-1367	-1684	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 21:20:02	NULL	NULL	NULL	-382	-337	-21	-220	-119	-51	-21	-21
2019-04-29 21:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 22:20:01	-197	-1117	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 22:20:02	NULL	NULL	NULL	-426	-293	-16	NULL	NULL	NULL	NULL	NULL
2019-04-29 22:20:03	NULL	NULL	-1608	NULL	NULL	NULL	-214	NULL	NULL	NULL	NULL
2019-04-29 22:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-119	-52	-16	-16
2019-04-29 23:20:00	NULL	-848	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 23:20:01	-198	NULL	-1406	-362	-254	-11	NULL	NULL	NULL	NULL	NULL
2019-04-29 23:20:02	NULL	NULL	NULL	NULL	NULL	NULL	-218	-117	-39	-11	NULL
2019-04-29 23:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-11
2019-04-29 23:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 00:20:01	-197	-753	NULL	-311	-231	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 00:20:02	NULL	NULL	-1235	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 00:20:03	NULL	NULL	NULL	NULL	NULL	-11	-222	-117	-38	-11	NULL
2019-04-30 00:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-11
2019-04-30 00:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 01:20:01	-197	-728	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 01:20:03	NULL	NULL	-1214	-315	-230	-11	-222	-119	-40	NULL	NULL
2019-04-30 01:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-11	-11
2019-04-30 02:20:01	-195	-724	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 02:20:02	NULL	NULL	-1131	-318	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 02:20:03	NULL	NULL	NULL	NULL	-227	-11	-222	NULL	NULL	NULL	NULL
2019-04-30 03:20:02	NULL	-707	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 03:20:04	-196	NULL	-1080	-313	-225	-10	-222	-117	-40	NULL	NULL
2019-04-30 03:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-10	-10
2019-04-30 04:20:01	NULL	-691	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 04:20:02	-196	NULL	-1040	-306	-225	-10	-223	NULL	NULL	NULL	NULL
2019-04-30 04:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-117	-40	-10	-10
2019-04-30 05:20:00	-196	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 05:20:02	NULL	-693	-1017	-295	-225	-10	-223	-117	NULL	NULL	NULL
2019-04-30 05:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-40	-10	NULL
2019-04-30 05:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-10
2019-04-30 06:20:01	-197	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 06:20:04	NULL	-695	-1012	-295	-225	-10	-223	-117	-40	-10	-10
2019-04-30 07:20:01	-197	-698	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 07:20:02	NULL	NULL	-1010	-295	-228	-10	-223	-117	NULL	NULL	NULL
2019-04-30 07:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-40	NULL	-10
2019-04-30 08:20:01	-197	-756	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 08:20:03	NULL	NULL	-1014	-297	-228	-10	-223	-120	-41	-10	-10
2019-04-30 08:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 09:20:01	-203	-831	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 09:20:02	NULL	NULL	-1072	-306	NULL	-10	-223	NULL	NULL	NULL	NULL
2019-04-30 09:20:03	NULL	NULL	NULL	NULL	-229	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 09:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-123	-42	-10	-10
2019-04-30 10:20:01	-220	-1056	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 10:20:02	NULL	NULL	-1119	-342	-251	-11	-225	-134	-60	-11	NULL
2019-04-30 11:20:03	-238	-1152	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 11:20:04	NULL	NULL	-1197	-360	-268	-25	-371	-139	-63	NULL	NULL
2019-04-30 11:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-25	-25
2019-04-30 12:20:01	NULL	-1273	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 12:20:03	-287	NULL	-1274	-376	-321	-30	-412	-142	NULL	NULL	NULL
2019-04-30 12:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-65	NULL	NULL
2019-04-30 12:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-30	-30
2019-04-30 13:20:00	NULL	-1290	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 13:20:02	-294	NULL	-1361	-446	-278	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 13:20:03	NULL	NULL	NULL	NULL	NULL	-31	-446	-153	-70	-31	-14
2019-04-30 13:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 14:20:00	NULL	-1241	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 14:20:01	-253	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 14:20:02	NULL	NULL	-1354	-457	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 14:20:03	NULL	NULL	NULL	NULL	-201	-12	-422	-161	NULL	NULL	NULL
2019-04-30 14:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-69	-17	-12
2019-04-30 15:20:01	NULL	-1273	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
