datetime	AR	CO	MX	PE	CL	EC	VE	GT	SV	UY	HN
2019-04-27 23:40:02	416	3053	2384	1188	1309	173	NULL	NULL	NULL	NULL	NULL
2019-04-27 23:40:03	NULL	NULL	NULL	NULL	NULL	NULL	2291	179	NULL	NULL	NULL
2019-04-28 00:20:00	414	3055	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 00:20:01	NULL	NULL	2374	1188	1309	173	2290	179	189	163	170
2019-04-28 01:20:00	NULL	3125	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 01:20:01	412	NULL	2363	1192	1312	173	2289	180	189	163	170
2019-04-28 03:20:01	NULL	3151	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 03:20:03	412	NULL	2365	1188	1312	173	2285	180	189	163	NULL
2019-04-28 03:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	170
2019-04-28 04:20:01	NULL	3165	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 04:20:02	413	NULL	NULL	NULL	1312	173	2285	NULL	NULL	NULL	NULL
2019-04-28 04:20:03	NULL	NULL	2400	1189	NULL	NULL	NULL	180	189	163	170
2019-04-28 05:20:01	413	3173	NULL	1187	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 05:20:02	NULL	NULL	2422	NULL	1312	173	2285	180	189	163	NULL
2019-04-28 05:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	170
2019-04-28 05:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 06:20:00	NULL	3173	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 06:20:01	413	NULL	2451	1191	1312	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 06:20:02	NULL	NULL	NULL	NULL	NULL	173	2285	180	189	163	NULL
2019-04-28 06:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	170
2019-04-28 07:20:01	413	3165	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 07:20:02	NULL	NULL	2455	1190	1312	173	2285	176	189	163	170
2019-04-28 07:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 08:20:02	413	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 08:20:04	NULL	3091	2453	1185	1312	173	2285	173	181	151	170
2019-04-28 09:20:01	411	2942	2383	1166	NULL	NULL	2285	NULL	NULL	NULL	NULL
2019-04-28 09:20:02	NULL	NULL	NULL	NULL	1288	158	NULL	171	180	148	155
2019-04-28 10:20:01	NULL	2838	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 10:20:02	385	NULL	2314	1107	1244	157	2285	156	175	147	NULL
2019-04-28 11:20:01	375	2699	2220	1093	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 11:20:02	NULL	NULL	NULL	NULL	1210	NULL	2285	151	162	NULL	NULL
2019-04-28 11:20:03	NULL	NULL	NULL	NULL	NULL	141	NULL	NULL	NULL	NULL	NULL
2019-04-28 11:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	131	138
